category,question,answer,source
요금 및 견적,여행에 함께 가는 가족 구성원은 누구야?,"성인 2명, 아이 2명",액티벤처:90001
상품예약 및 결제,아동 조식은 어떻게 추가할 수 있나요?,박당 15달러 추가,액티벤처:90003
상품예약 및 결제,호텔 3박 이상 예약 시 공항 픽업 서비스가 무료인가요?,네.,액티벤처:90005
요금 및 견적,각 리조트의 공항 샌딩 비용은 얼마야?,"파드마 $20, 공항 체크아웃 $30",액티벤처:90001
요금 및 견적,공항 픽업은 더스톤즈 호텔로만 가능한가요?,아니요.,액티벤처:90002
요금 및 견적,렌트카로 선택할 수 있는 차량 종류는 무엇인가?,"APV, 엘프",액티벤처:90007
상품예약 및 결제,포시즌 호텔 차량 서비스는 무료인가?,아니요.,액티벤처:90004
상품예약 및 결제,2박 예약 시 공항 픽업 서비스를 무료로 받을 수 있나?,아니요.,액티벤처:90006
요금 및 견적,시내 위주 여행 시 가이드 동행이 필요한가?,아니요.,액티벤처:90007
상품예약 및 결제,포시즌 사얀 원베드룸 풀빌라 숙박 시 무료로 제공되는 식사는?,디너 1회,액티벤처:90004
요금 및 견적,룸 체크는 어떻게 진행되나요?,가능 여부 확인 후,액티벤처:90011
상품예약 및 결제,렌트 비용에 식사비가 포함되어 있나요?,아니요.,액티벤처:90008
상품예약 및 결제,가이드와 기사님 식사는 어떻게 해결하나요?,각자 알아서 해결,액티벤처:90008
상품예약 및 결제,아야나리조트 기본룸 예약이 가능한가요?,네.,액티벤처:90009
상품예약 및 결제,호텔 예약은 어떻게 진행하나요?,이메일로 예약,액티벤처:90005
상품예약 및 결제,씨브리즈룸 2박 예약이 가능한가요?,아니요.,액티벤처:90012
요금 및 견적,모든 리조트에서 공항 샌딩과 레이트 체크아웃이 가능해?,응.,액티벤처:90001
상품예약 및 결제,지프투어는 미리 시간 예약이 가능한가요?,아니요.,액티벤처:90010
상품예약 및 결제,인디고발리 호텔 예약은 어떻게 진행해야 해?,이메일로 정보 전송,액티벤처:90016
상품예약 및 결제,사파린마린파크 드래곤패키지는 어떻게 예약하나요?,이메일로 정보 전송,액티벤처:90010
상품예약 및 결제,인터컨티넨탈 클럽룸 예약은 어떻게 진행하나요?,이메일로 정보 전송,액티벤처:90015
상품예약 및 결제,암나야룸 예약 시 무료 서비스가 포함되어 있나요?,네.,액티벤처:90013
상품예약 및 결제,레이트 체크아웃은 어떻게 가능한가요?,1박 요금 선납,액티벤처:90017
요금 및 견적,공항 픽업 서비스는 무료인가요?,아니요.,액티벤처:90014
상품예약 및 결제,예약 후 추가 서비스를 받을 수 있나요?,네.,액티벤처:90015
상품예약 및 결제,공항 픽업 차량은 어떻게 선택할 수 있나요?,항공편 정보 제공,액티벤처:90013
상품예약 및 결제,인디고발리 호텔에서 예약 가능한 룸은 누구의 추천으로 결정되었어?,상담사,액티벤처:90016
상품예약 및 결제,공항 픽업 서비스는 유료인가요?,아니요.,액티벤처:90017
요금 및 견적,호텔 예약은 어떻게 진행할 수 있나요?,이메일로 정보 전송,액티벤처:90019
상품예약 및 결제,공항 픽업 서비스가 무료인가요?,아니요.,액티벤처:90018
요금 및 견적,공항 픽업 서비스를 받을 수 있나요?,네.,액티벤처:90019
상품예약 및 결제,예약 시 제공받을 수 있는 특전은 뭐야?,발리 한국어 지도와 맛집 파일,액티벤처:90024
요금 및 견적,발리 리조트 예약 시 공항 픽업 서비스는 어떻게 이용하나요?,조인 픽업 서비스,액티벤처:90035
상품예약 및 결제,인터컨티넨탈 호텔 예약은 어떻게 진행하나요?,이메일로 신청,액티벤처:90018
상품예약 및 결제,엑스트라 베드는 무료로 제공받을 수 있나요?,네.,액티벤처:90024
상품예약 및 결제,호텔 예약을 어떻게 진행해야 하나요?,이메일로 정보 전송,액티벤처:90021
상품예약 및 결제,기본룸 예약이 가능한가요?,아니요.,액티벤처:90025
상품예약 및 결제,오션뷰룸 예약 시 식사 혜택이 있나요?,네.,액티벤처:90023
상품예약 및 결제,공항 픽업 서비스는 얼마에 이용할 수 있나요?,15달러,액티벤처:90025
요금 및 견적,우붓 지역 공항 픽업은 무료인가?,아니요.,액티벤처:90020
상품예약 및 결제,인디고 스미냑 클래식룸 1+1 예약이 가능한가요?,네.,액티벤처:90021
상품예약 및 결제,씨브리즈룸 1+1 이벤트 예약이 가능한가?,아니요.,액티벤처:90016
상품예약 및 결제,만 5세 이하 아동은 숙박비가 무료인가?,네.,액티벤처:90026
상품예약 및 결제,호텔 예약은 어떻게 진행하나요?,이메일로 정보 전송,액티벤처:90027
요금 및 견적,공항 픽업 서비스는 어떻게 예약할 수 있나요?,항공편 정보와 함께 신청,액티벤처:90028
상품예약 및 결제,우붓 지역 픽업 서비스는 가능한가요?,네.,액티벤처:90027
상품예약 및 결제,5세 아동은 숙박비를 내야 하나?,아니요.,액티벤처:90031
상품예약 및 결제,현재 호텔 예약에 특별 할인이나 프로모션이 있나요?,아니요.,액티벤처:90030
요금 및 견적,우붓 포시즌 리조트 2박 패키지에 조식이 포함되어 있나요?,네.,액티벤처:90028
상품예약 및 결제,조식뷔페를 8불에 이용할 수 있는 대상 연령은 어떻게 되지?,3세부터 12세 미만 어린이,액티벤처:90036
상품예약 및 결제,예약 시 대표자로 정보를 보내야 하는 사람은 누구야?,대표자,액티벤처:90031
상품예약 및 결제,요청하신 날짜에 객실 예약이 가능한가요?,네.,액티벤처:90029
상품예약 및 결제,예약 정보는 어떻게 보내야 하나?,이메일로,액티벤처:90031
요금 및 견적,발리 리조트 예약 시 대표로 정보를 제공해야 하는 사람은 누구인가요?,대표자,액티벤처:90035
요금 및 견적,프라마 사누르 비치 호텔 예약이 가능한가요?,아니요.,액티벤처:90033
상품예약 및 결제,공항 픽업 서비스는 우붓 지역에서도 가능한가?,아니요.,액티벤처:90037
요금 및 견적,호텔 예약은 어떻게 진행하나요?,이메일로 정보 전송,액티벤처:90033
상품예약 및 결제,호텔 예약자들에게 공항 픽업 서비스가 제공되나요?,네.,액티벤처:90032
상품예약 및 결제,공항 픽업 서비스 이용 시 필요한 서류는 무엇인가요?,항공편 정보,액티벤처:90034
요금 및 견적,인디고 발리에 2베드룸 객실이 있나요?,아니요.,액티벤처:90035
상품예약 및 결제,런치뷔페는 호텔 예약에 포함된 서비스야?,응.,액티벤처:90036
상품예약 및 결제,호텔 가격에 조식과 세금이 포함되어 있나요?,네.,액티벤처:90034
상품예약 및 결제,체크인 전 동물원 팔찌는 어떻게 받을 수 있어?,체크인 후에만 받기,액티벤처:90036
상품예약 및 결제,사마베 허니문 패키지의 레이트 체크아웃이 가능한가요?,네.,액티벤처:90038
상품예약 및 결제,포시즌스 사얀 앳 발리 예약 시 무료로 제공되는 혜택은 무엇인가?,"조식, 디너 1회, 미니바",액티벤처:90037
상품예약 및 결제,공항 픽업 서비스는 모든 지역에서 가능한가요?,아니요.,액티벤처:90039
상품예약 및 결제,픽업 서비스를 이용하지 않을 경우 어떻게 이동할 수 있나요?,조인 이동 가능,액티벤처:90038
요금 및 견적,3+1 프로모션은 어떻게 적용되나요?,"2번 연속 가능, 6박 시 2박 무료",액티벤처:90041
요금 및 견적,아야나 리조트와 세인트 레지스 예약은 어떻게 진행되나요?,전화 상담 후 결제,액티벤처:90040
요금 및 견적,이번 여행에 함께 가는 가족 구성원은 누구야?,"성인 2명, 8살 아동 1명",액티벤처:90041
상품예약 및 결제,마지막 날 호텔 체크아웃은 어떻게 하려고 하나요?,레이트 체크아웃,액티벤처:90052
상품예약 및 결제,처음부터 2박으로 예약하려고 했나요?,아니요.,액티벤처:90052
요금 및 견적,카드 결제 시 수수료가 없나요?,아니요.,액티벤처:90043
요금 및 견적,350만원 예산으로 발리 가족여행이 가능할까?,응.,액티벤처:90046
요금 및 견적,호텔 예약은 어떻게 하나요?,이메일로 신청,액티벤처:90045
요금 및 견적,인디고 호텔 객실 내에서 와이파이 사용이 가능한가?,네.,액티벤처:90042
상품예약 및 결제,12인승 차량에 6명이 탑승할 수 있어?,응.,액티벤처:90044
요금 및 견적,3+1 프로모션이 그랜져 디럭스 객실에 적용되나요?,아니요.,액티벤처:90045
요금 및 견적,호텔 예약 시 결제는 어떻게 할 수 있나요?,현금 또는 카드,액티벤처:90043
"일반문의(여행준비, 인터넷, 교통, 안전 등)",잦은 고장으로 인해 운행에 문제가 있었던 것은 뭐야?,길리옴박 익스프레스,액티벤처:90050
요금 및 견적,발리 여행에 함께 가는 가족 구성원은 누구야?,"어른 2명, 아이 3명",액티벤처:90046
요금 및 견적,카드 결제 시 추가되는 수수료는 얼마야?,2.5% 추가,액티벤처:90046
상품예약 및 결제,사파리 마린파크 입장권을 받을 수 있는 대상은 누구야?,투숙객,액티벤처:90051
요금 및 견적,엑스트라 베드는 필수인가요?,아니요.,액티벤처:90041
상품예약 및 결제,렌트카는 어떻게 예약할 수 있나요?,실시간 확인,액티벤처:90048
요금 및 견적,공항 샌딩 서비스는 무료인가?,아니요.,액티벤처:90049
"일반문의(여행준비, 인터넷, 교통, 안전 등)",길리옴박 여행에서 발생한 불편 사항은 어떻게 해결할 수 있나요?,보상 및 컴플레인,액티벤처:90050
"일반문의(여행준비, 인터넷, 교통, 안전 등)",마차 왕복값에 대한 보상을 받을 수 있나요?,네.,액티벤처:90050
요금 및 견적,세인트 레지스 예약 시 특전이 제공되나요?,네.,액티벤처:90040
상품예약 및 결제,호텔 예약 시 추가 비용 없이 모든 객실을 무료로 이용할 수 있나요?,아니요.,액티벤처:90053
요금 및 견적,빌라스 예약 시 F&B 크레딧이 제공되나요?,네.,액티벤처:90054
상품예약 및 결제,허니문 패키지에 포함된 호텔은 무엇인가요?,W호텔 원 베드룸 풀빌라,액티벤처:90065
상품예약 및 결제,항공권 결제 시 수수료는 어떻게 계산되나요?,카드 결제 시 2.5% 추가,액티벤처:90053
요금 및 견적,객실 예약 가능 여부는 어떻게 확인하나요?,실시간 체크,액티벤처:90056
요금 및 견적,물리아 빌라스 예약금은 어떻게 결제하나요?,카드 결제,액티벤처:90054
상품예약 및 결제,항공권 예약 시 필요한 신분증명 서류는 누구의 것인가요?,여권 사본,액티벤처:90053
"일반문의(여행준비, 인터넷, 교통, 안전 등)",선택관광에 포함된 팁은 무엇인가요?,없음,액티벤처:90057
상품예약 및 결제,롬복공항에서 할 수 없는 수속은 뭐지?,국제선 수속,액티벤처:90055
상품예약 및 결제,롬복공항에서 국제선 수속이 가능한가?,아니요.,액티벤처:90055
상품예약 및 결제,마라리버 사파리 롯지의 가격은 얼마야?,240달러,액티벤처:90051
상품예약 및 결제,마라리버 사파리 롯지의 픽업 서비스와 와이파이는 무료인가요?,아니요.,액티벤처:90051
상품예약 및 결제,아메드 해변은 초심자도 스노클링을 쉽게 즐길 수 있나요?,네.,액티벤처:90058
상품예약 및 결제,발리에서 초심자가 스노클링을 즐기기에 가장 좋은 방법은?,아메드 해변,액티벤처:90058
상품예약 및 결제,체크아웃 후 데이투어를 프로그램에 포함할 수 있어?,응.,액티벤처:90064
상품예약 및 결제,물리아 디너는 3박 중 원하는 날짜에 예약 가능한가요?,네.,액티벤처:90063
상품예약 및 결제,르메르디안 호텔에 아기 의자가 준비되어 있나요?,네.,액티벤처:90061
상품예약 및 결제,물리아 soleil 디너 예약을 확인할 때 누구의 이름으로 확인하나요?,손님 이름,액티벤처:90063
"일반문의(여행준비, 인터넷, 교통, 안전 등)",리조트에서 달러를 사용할 수 있나요?,아니요.,액티벤처:90057
상품예약 및 결제,물놀이 옵션은 어떻게 신청하나요?,별도 옵션 신청,액티벤처:90064
요금 및 견적,리조트 예약은 어떻게 할 수 있나요?,웹사이트나 전화로,액티벤처:90062
상품예약 및 결제,르메르디안 호텔에서 제공하는 런치의 형태는 무엇인가?,세트 메뉴,액티벤처:90061
상품예약 및 결제,마사지 픽업 서비스는 무료인가요?,아니요.,액티벤처:90060
상품예약 및 결제,반얀트리 예약은 어떻게 되어 있나요?,풀부킹,액티벤처:90066
상품예약 및 결제,홍콩 L호텔에서 다른 호텔로 변경이 불가능한가요?,아니요.,액티벤처:90065
상품예약 및 결제,W1박의 레잇 체크아웃은 어떻게 요청할 수 있나요?,현지 사무실 소장님께 연락,액티벤처:90063
"일반문의(여행준비, 인터넷, 교통, 안전 등)",홈페이지에 나온 요금에 유류할증료가 포함되어 있나요?,아니요.,액티벤처:90072
상품예약 및 결제,반얀트리 오션뷰 방을 예약할 수 있나요?,아니요.,액티벤처:90066
상품예약 및 결제,가루다 항공 비즈니스 클래스 마일리지는 어떻게 적립되나요?,100% 적립 가능,액티벤처:90070
상품예약 및 결제,인천공항 근처 호텔은 어떻게 예약할 수 있나요?,전화로 문의,액티벤처:90075
요금 및 견적,베드타입 요청이 100% 보장되나요?,아니요.,액티벤처:90068
상품예약 및 결제,항공권 결제 시 제3자 카드로 결제할 수 있는 사람은 누구야?,가족,액티벤처:90076
요금 및 견적,호텔 예약은 어떻게 진행하나요?,이메일로 신청,액티벤처:90068
요금 및 견적,르메르디앙 리조트 골프장에서 대여 가능한 것은 무엇인가요?,골프채,액티벤처:90077
상품예약 및 결제,6박 8일 일정의 프로모션 좌석이 남아있나요?,아니요.,액티벤처:90070
요금 및 견적,발리에서 롬복으로 가는 항공권을 현지에서 구매할 수 있어?,응.,액티벤처:90071
상품예약 및 결제,월요일 오전 출발편이 있나요?,아니요.,액티벤처:90086
요금 및 견적,싱가폴에서 얼마나 머물 수 있나요?,2~3일 정도,액티벤처:90073
상품예약 및 결제,항공 좌석은 어떻게 확보할 수 있어?,전화 예약,액티벤처:90076
요금 및 견적,발리에서 롬복으로 이동하는 방법은 어떻게 되나?,항공편 또는 배,액티벤처:90071
상품예약 및 결제,제3자의 카드로 결제가 가능한가요?,아니요.,액티벤처:90078
요금 및 견적,발리 공항에 짐 보관소가 있나요?,아니요.,액티벤처:90074
상품예약 및 결제,카드 결제는 어떻게 진행할 수 있나요?,출발자 본인 카드로,액티벤처:90078
상품예약 및 결제,현재 월 출발 항공권 예약이 즉시 가능한가?,아니요.,액티벤처:90076
요금 및 견적,개인 항공권의 마일리지는 어떻게 적립되나?,이용 마일의 50%,액티벤처:90081
상품예약 및 결제,발리 여행 예약 결제 정보는 어떻게 확인할 수 있나요?,문자로 전송,액티벤처:90080
요금 및 견적,르메르디앙 리조트 요금은 현금 결제 기준인가요?,네.,액티벤처:90077
상품예약 및 결제,포시즌 짐바란 호텔은 바다로 이동이 편리한가요?,네.,액티벤처:90075
상품예약 및 결제,발리 여행과 관련된 추가 절차가 남아있나요?,아니요.,액티벤처:90080
요금 및 견적,림바 호텔 예약 시 조식이 포함되어 있나요?,네.,액티벤처:90083
상품예약 및 결제,리조트와 풀빌라 상품은 어떻게 구성할 수 있나요?,4박 조합,액티벤처:90086
"일반문의(여행준비, 인터넷, 교통, 안전 등)",데이크루즈에서 즐길 수 없는 수상 레저기구는 무엇인가요?,제트스키,액티벤처:90072
요금 및 견적,항공세와 유류할증료는 변동 가능성이 있나?,"네, 있어요.",액티벤처:90081
요금 및 견적,현재 예약하려는 모든 항공편의 좌석이 확정되었나요?,아니요.,액티벤처:90082
상품예약 및 결제,친구와 동일한 스케줄로 비행기 탑승이 가능한가?,네.,액티벤처:90079
상품예약 및 결제,발리 스노클링 포인트는 베노아 비치인가요?,네.,액티벤처:90085
요금 및 견적,발리 여행 패키지에 포함된 서비스는 무엇을 포함하나요?,"항공권, 숙소, 여행자보험, 공항-호텔 미팅",액티벤처:90084
요금 및 견적,발리 여행 패키지에 도착 비자가 포함되어 있나요?,아니요.,액티벤처:90084
"일반문의(여행준비, 인터넷, 교통, 안전 등)",발리 여행 시 환전은 어떻게 하는 것이 좋은가?,달러 지참,액티벤처:90087
요금 및 견적,비버리 힐즈 요금은 어떻게 확인할 예정인가요?,내일 출근 후 확인,액티벤처:90089
"일반문의(여행준비, 인터넷, 교통, 안전 등)",발리 신혼여행에서 스미냑까지 이동하는 데 걸리는 소요 시간은?,30분,액티벤처:90087
상품예약 및 결제,신혼여행 일정은 어떻게 진행되나요?,체크인 후 3일 일정,액티벤처:90105
"일반문의(여행준비, 인터넷, 교통, 안전 등)",발리 여행 시 루피아로 모든 금액을 환전해야 하나?,아니요.,액티벤처:90087
상품예약 및 결제,발리에서 해양스포츠는 어떻게 예약할 수 있나요?,한국에서 예약,액티벤처:90085
상품예약 및 결제,발리 여행에서 하드락이나 콘래드 호텔 예약이 가능한가요?,네.,액티벤처:90091
상품예약 및 결제,에어텔 이용 시 공항에서 숙소까지 어떻게 이동할 수 있나요?,공항 픽업,액티벤처:90091
요금 및 견적,디럭스룸 예약 시 객실 업그레이드에 추가 비용이 발생하나요?,아니요.,액티벤처:90092
상품예약 및 결제,그룹 항공권 요금과 좌석에 대한 공지가 있었나요?,아니요.,액티벤처:90088
요금 및 견적,항공권은 어떻게 예약하나요?,전화로 예약,액티벤처:90093
요금 및 견적,예약을 미리 하면 더 저렴한 요금을 받을 수 있나요?,네.,액티벤처:90093
요금 및 견적,이번 여행에 함께 가는 인원은 어떻게 되지?,성인 여자 3명,액티벤처:90101
요금 및 견적,항공사는 항공료 인상을 최소 몇 달 전에 통보하나요?,2달 전,액티벤처:90096
요금 및 견적,림바 호텔의 특전은 어떻게 제공되나요?,객실당 2인 기준,액티벤처:90101
요금 및 견적,호텔은 얼마에 예약할 수 있나요?,1박 5-10만 원,액티벤처:90095
요금 및 견적,조기 예약은 어떻게 진행해야 하나?,날짜 정하고 예약,액티벤처:90103
상품예약 및 결제,키즈클럽 이용 시간은 보통 어떻게 운영되나?,오전9시~오후5시,액티벤처:90097
상품예약 및 결제,발리 골프장에서 할인을 받을 수 있는 숙소는 누구의 호텔인가요?,르메르디안,액티벤처:90085
상품예약 및 결제,풀빌라 예약은 어떻게 진행할 수 있어?,사이트 통해 예약,액티벤처:90098
상품예약 및 결제,디시니 풀빌라는 신축 건물인가?,네.,액티벤처:90098
상품예약 및 결제,룸복 여행 일정은 어떻게 계획하고 있어?,3박5일,액티벤처:90106
상품예약 및 결제,연말 시즌에 고급 풀빌라는 최소 5박 이상 예약이 필요한가요?,네.,액티벤처:90099
요금 및 견적,여행사는 여러 래프팅 업체와 협력하고 있나?,아니요.,액티벤처:90113
요금 및 견적,림바 호텔 특전에 개인 이용 서비스가 포함되어 있나요?,아니요.,액티벤처:90101
상품예약 및 결제,이번 여행에 현지에서 누구를 만날 예정이야?,일행,액티벤처:90106
상품예약 및 결제,리허니문 여행 예약은 어떻게 진행하나요?,상담 후 빌라 선택,액티벤처:90128
상품예약 및 결제,블루포인트베이 호텔 예약이 확정되었나요?,아니요.,액티벤처:90105
요금 및 견적,발리 여행 시 풀빌라는 어떻게 예약할 수 있나요?,사이트 통해 확인,액티벤처:90108
상품예약 및 결제,더 리프 호텔로 숙소 예약을 진행할거야?,네.,액티벤처:90106
상품예약 및 결제,비즈니스 예약 시 귀국 항공편을 미리 정해줄 수 있나요?,네.,액티벤처:90114
상품예약 및 결제,아요디아 리조트 픽업 서비스는 어떻게 예약할 수 있어?,인원 수에 맞춰,액티벤처:90111
요금 및 견적,리조트 2박과 풀빌라 2박으로 일정을 잡을 수 있나요?,아니요.,액티벤처:90107
상품예약 및 결제,발리 여행을 계획하고 있나요?,네.,액티벤처:90112
요금 및 견적,하얏트 호텔 예약이 가능한가요?,아니요.,액티벤처:90115
요금 및 견적,에어텔로 10일 일정 상품 구성이 가능한가요?,네.,액티벤처:90118
요금 및 견적,파트너와 함께 전체 일정을 예약하나요?,아니요.,액티벤처:90109
요금 및 견적,발리 호텔 예약은 어떻게 진행하나요?,연락 주시면 도와드림,액티벤처:90115
